#,Company,Symbol,Weight,      Price,Chg,% Chg
317,Martin Marietta Materials Inc.,MLM,0.055626,   256.18,-4.03,(-1.55%)
318,Tractor Supply Company,TSCO,0.055523,   140.45,1.47,-1.06%
319,SVB Financial Group,SIVB,0.055514,   313.37,0.7,-0.22%
320,Fortinet Inc.,FTNT,0.055284,   117.49,-2.02,(-1.69%)
321,Kellogg Company,K,0.054894,   64.35,0.05,-0.08%
322,FirstEnergy Corp.,FE,0.0545,   29.07,-0.32,(-1.09%)
323,Incyte Corporation,INCY,0.054089,   83.18,-1.47,(-1.74%)
324,Varian Medical Systems Inc.,VAR,0.054079,   173.72,0.34,-0.20%
325,Teleflex Incorporated,TFX,0.053396,   335.94,-1.33,(-0.39%)
326,Cardinal Health Inc.,CAH,0.053348,   52.64,-0.42,(-0.79%)
327,AmerisourceBergen Corporation,ABC,0.053273,   103.95,-1.47,(-1.39%)
328,Healthpeak Properties Inc.,PEAK,0.053192,   28.08,-0.58,(-2.02%)
329,Pool Corporation,POOL,0.052918,   383.04,-0.88,(-0.23%)
330,CarMax Inc.,KMX,0.052707,   92.75,-0.57,(-0.61%)
331,Nasdaq Inc.,NDAQ,0.052538,   133.02,-0.19,(-0.14%)
332,Domino's Pizza Inc.,DPZ,0.052456,   399.85,3.63,-0.92%
333,PerkinElmer Inc.,PKI,0.052422,   141.30,2.89,-2.09%
334,STERIS Plc,STE,0.052267,   181.67,2.51,-1.40%
335,Ventas Inc.,VTR,0.05211,   39.64,-1.48,(-3.60%)
336,Masco Corporation,MAS,0.051826,   58.07,0.4,-0.69%
337,Duke Realty Corporation,DRE,0.051327,   40.78,0.19,-0.47%
338,NVR Inc.,NVR,0.051071,"   4,146.33",-115.57,(-2.71%)
339,Synchrony Financial,SYF,0.05087,   26.80,-0.68,(-2.47%)
340,Ingersoll Rand Inc.,IR,0.050784,   40.25,0.45,-1.13%
341,Essex Property Trust Inc.,ESS,0.050756,   227.16,1.03,-0.46%
342,Citrix Systems Inc.,CTXS,0.050716,   118.82,-0.6,(-0.50%)
343,Nucor Corporation,NUE,0.05071,   48.42,-0.38,(-0.78%)
344,Extra Space Storage Inc.,EXR,0.050688,   112.72,-1.18,(-1.04%)
345,Expeditors International of Washington Inc.,EXPD,0.050357,   88.32,0.91,-1.04%
346,Hartford Financial Services Group Inc.,HIG,0.0494,   39.40,-0.54,(-1.35%)
347,Celanese Corporation,CE,0.048658,   119.69,0.02,-0.02%
348,FMC Corporation,FMC,0.048626,   108.66,-0.48,(-0.44%)
349,Tiffany & Co.,TIF,0.048276,   131.15,-0.01,(-0.01%)
350,Mid-America Apartment Communities Inc.,MAA,0.048275,   122.67,-1.36,(-1.10%)
351,Expedia Group Inc.,EXPE,0.048093,   103.27,0.17,-0.16%
352,Genuine Parts Company,GPC,0.048037,   94.67,-1.55,(-1.61%)
353,Arista Networks Inc.,ANET,0.047998,   260.76,3.76,-1.46%
354,AES Corporation,AES,0.04746,   20.41,-0.56,(-2.67%)
355,Hormel Foods Corporation,HRL,0.047351,   49.90,0.34,-0.69%
356,Brown-Forman Corporation Class B,BF.B,0.046933,   75.27,0.16,-0.21%
